Country,Domestic Consumption,Exports,Imports
Albania,91.36363636363636,0.0,91.36363636363636
Algeria,2184.5454545454545,0.0,2184.5454545454545
Angola,14.454545454545455,11.272727272727273,0.0
Argentina,819.3636363636364,0.0,819.3636363636364
Armenia,193.63636363636363,0.0,193.63636363636363
Australia,1959.090909090909,0.0,1959.090909090909
Benin,0.0,0.0,0.0
Bolivia,56.27272727272727,33.90909090909091,0.0
Bosnia and Herzegovina,331.8181818181818,0.0,331.8181818181818
Brazil,21941.272727272728,37894.0,64.0909090909091
Burundi,8.636363636363637,195.9090909090909,0.0
Cameroon,76.27272727272727,349.54545454545456,0.0
Canada,4863.181818181818,0.0,4863.181818181818
Central African Republic,4.7272727272727275,0.7272727272727273,0.0
Chile,228.1818181818182,0.0,228.1818181818182
China,3531.5454545454545,1341.6363636363637,3055.909090909091
Colombia,1779.090909090909,12433.636363636364,1183.5454545454545
Congo (Brazzaville),0.0,0.0,0.0
Congo (Kinshasa),140.0,108.18181818181819,0.0
Costa Rica,412.0,1157.7272727272727,181.36363636363637
Cote d'Ivoire,66.36363636363636,1320.4545454545455,0.0
Croatia,0.0,0.0,0.0
Cuba,102.0,16.181818181818183,0.0
Dominican Republic,150.9090909090909,14.090909090909092,0.0
Ecuador,262.45454545454544,623.4545454545455,608.3636363636364
Egypt,521.8181818181819,0.0,521.8181818181819
El Salvador,264.45454545454544,557.2727272727273,221.54545454545453
Equatorial Guinea,0.0,0.0,0.0
Ethiopia,3190.181818181818,4043.7272727272725,0.0
European Union,42148.27272727273,3117.818181818182,45106.36363636364
Gabon,0.0,0.0,0.0
Georgia,83.63636363636364,0.0,83.63636363636364
Ghana,1.0,0.7272727272727273,0.0
Guatemala,548.3636363636364,3284.181818181818,274.90909090909093
Guinea,17.636363636363637,142.72727272727272,0.0
Guyana,0.0,0.0,0.0
Haiti,59.81818181818182,0.6363636363636364,0.0
Honduras,355.90909090909093,5647.272727272727,21.545454545454547
India,1182.8181818181818,5869.363636363636,1409.8181818181818
Indonesia,3939.818181818182,8056.727272727273,1230.4545454545455
Iran,472.27272727272725,0.0,472.27272727272725
Jamaica,4.818181818181818,14.090909090909092,0.0
Japan,7671.363636363636,0.0,7582.272727272727
Jordan,681.3636363636364,0.0,681.3636363636364
Kazakhstan,223.63636363636363,0.0,223.63636363636363
Kenya,46.36363636363637,761.0909090909091,12.818181818181818
"Korea, South",2802.2727272727275,0.0,2802.2727272727275
Kosovo,92.27272727272727,0.0,92.27272727272727
Laos,94.54545454545455,346.8181818181818,0.0
Liberia,0.0,0.36363636363636365,0.0
Madagascar,289.54545454545456,47.90909090909091,0.0
Malawi,1.0,13.545454545454545,0.0
Malaysia,692.7272727272727,2777.7272727272725,1515.909090909091
Mexico,2579.181818181818,2826.090909090909,1871.6363636363637
Montenegro,43.63636363636363,0.0,43.63636363636363
Morocco,781.3636363636364,0.0,781.3636363636364
New Caledonia,0.0,0.0,0.0
New Zealand,438.45454545454544,0.0,438.45454545454544
Nicaragua,158.1818181818182,2425.4545454545455,27.272727272727273
Nigeria,6.0,0.8181818181818182,0.0
North Macedonia,96.54545454545455,0.0,96.54545454545455
Norway,777.7272727272727,0.0,777.7272727272727
Panama,95.36363636363636,44.63636363636363,55.45454545454545
Papua New Guinea,51.0,801.8181818181819,0.0
Paraguay,0.0,0.0,0.0
Peru,192.8181818181818,3738.5454545454545,50.63636363636363
Philippines,6147.272727272727,0.0,5715.909090909091
Russia,4379.090909090909,0.0,4379.090909090909
Rwanda,0.0,272.72727272727275,0.0
Saudi Arabia,979.0909090909091,0.0,979.0909090909091
Senegal,65.0,0.0,65.0
Serbia,733.1818181818181,0.0,733.1818181818181
Sierra Leone,17.181818181818183,40.54545454545455,0.0
Singapore,118.18181818181819,0.0,118.18181818181819
South Africa,670.4545454545455,0.0,670.4545454545455
Sri Lanka,0.0,0.0,0.0
Switzerland,1498.6363636363637,1411.3636363636363,2910.0
Taiwan,596.3636363636364,0.0,596.3636363636364
Tanzania,56.27272727272727,1105.1818181818182,2.4545454545454546
Thailand,648.6363636363636,1095.0,993.6363636363636
Togo,0.0,110.0,0.0
Trinidad and Tobago,0.0,0.0,0.0
Turkey,1064.090909090909,0.0,1064.090909090909
Uganda,218.1818181818182,4916.272727272727,0.0
Ukraine,1113.1818181818182,0.0,1113.1818181818182
United Kingdom,2788.181818181818,0.0,2788.181818181818
United States,25407.727272727272,92.72727272727273,25481.81818181818
Uruguay,25.454545454545453,0.0,25.454545454545453
Venezuela,868.4545454545455,15.181818181818182,343.72727272727275
Vietnam,2805.909090909091,27088.363636363636,737.0
Yemen,22.636363636363637,1.4545454545454546,0.0
Yemen (Sanaa),0.0,0.0,0.0
Zambia,0.0,0.0,0.0
Zimbabwe,0.0,0.0,0.0
